DATE,BOROUGH,DIRECTION,MAIN STREET,CROSS STREET,TYPE,TRUCK ROUTE,STRUCK OVERPASS,STATE OF OPERATORS LICENSE,BRIDGE IDENTIFICATION NUMBER,LATITUDE,LONGITUDE,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
03/06/2018,MANHATTAN,N/B,FDR DRIVE,EAST 58th STREET,STRIKE,NO,YES,N/A,2233040,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
05/18/2015,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,CO,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
01/22/2015,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,FL,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
12/08/2018,MANHATTAN,N/B,FDR DRIVE,EAST 58th STREET,STRIKE,NO,YES,N/A,2233038,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
09/12/2014,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,CA,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
08/18/2017,BROOKLYN,E/B,BELT PARKWAY,SHELL ROAD,STRIKE,NO,YES,CA,7233000,40.582824,-73.97448,POINT (-73.97448 40.582824),18184,21,2,45,35
08/15/2019,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,N/A,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
08/09/2016,QUEENS,W/B,QUEENSBORO BRIDGE,UPPER LEVEL,STRIKE,YES,YES,N/A,224004F,40.756907,-73.954448,POINT (-73.954448 40.756907),13099,23,4,1,72
11/03/2014,BRONX,N/B,BRONX RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,TN,7067078,40.829868,-73.873192,POINT (-73.873192 40.829868),11610,58,5,31,26
02/09/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,CA,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
04/28/2014,QUEENS,E/B,BELT PARKWAY,GUY R BREWER BOULEVARD,STRIKE,NO,YES,PA,2231610,40.667348,-73.771136,POINT (-73.771136 40.667348),24669,63,3,47,63
08/30/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
12/08/2015,QUEENS,E/B,BELT PARKWAY,FARMERS BOULEVARD,STRIKE,NO,YES,OH,2231620,40.666941,-73.767092,POINT (-73.767092 40.666941),24669,63,3,47,63
07/05/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,FL,2075837,40.842936,-73.83761,POINT (-73.83761 40.842936),11270,43,5,12,28
08/08/2018,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,CT,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
06/11/2019,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,NY,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
05/22/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,MA,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
04/03/2013,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
11/22/2014,MANHATTAN,N/B,FDR DRIVE,EAST 62nd STREET,STRIKE,NO,YES,N/A,2233038,40.760213,-73.957473,POINT (-73.957473 40.760213),10090,23,4,1,11
08/26/2013,BROOKLYN,N/B,3rd AVENUE,EAST 18th STREET,STRIKE,YES,YES,N/A,106531H,40.665661,-73.996024,POINT (-73.996024 40.665661),13515,9,2,7,45
05/08/2018,BROOKLYN,E/B,BELT PARKWAY,,STRIKE,NO,YES,TX,,,,,,,,,
12/11/2014,QUEENS,N/B,CROSS ISLAND PARKWAY,SUPERIOR ROAD,STRIKE,NO,YES,N/A,2231800,40.720565,-73.725604,POINT (-73.725604 40.720565),15785,,,,
03/28/2014,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NC,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
11/12/2014,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,IL,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
11/22/2017,QUEENS,,SHEA ROAD,ROOSEVELT AVENUE,STRIKE,NO,YES,N/A,2267160,40.752929,-73.851261,POINT (-73.851261 40.752929),14510,67,3,21,68
